symbol,total_return_pct,cagr_pct,sharpe_ratio,max_drawdown_pct,profit_factor,win_loss_ratio,avg_trade_ret_pct,final_equity,bh_total_return,bh_cagr,bh_sharpe,bh_max_drawdown
SILVER_CFD,10647.55,20.01,4.7,-20.01,3.55,1.21,2.697,1074754.7,1521.72,11.48,0.33,-75.85
GOLD_CFD,1141.25,10.32,2.35,-48.8,1.99,0.64,1.192,124124.75,1654.87,11.82,0.63,-44.36
