symbol,total_signals,signals_in_gc_win,wr_all_signals,wr_in_gc_window,tp_7pct_hit_rate,tp_target_pct,gc_window_bars,lookforward_days,total_return_pct,cagr_pct,sharpe_ratio,max_drawdown_pct,profit_factor,win_loss_ratio,avg_trade_ret_pct,final_equity,bh_total_return,bh_cagr,bh_sharpe,bh_max_drawdown
SILVER_CFD,1740,637,54.8,50.2,54.8,7.0,20,40,10647.55,20.01,4.7,-20.01,3.55,1.21,2.697,1074754.7,1521.72,11.48,0.33,-75.85
GOLD_CFD,2120,664,39.1,39.8,39.1,7.0,20,40,1141.25,10.32,2.35,-48.8,1.99,0.64,1.192,124124.75,1654.87,11.82,0.63,-44.36
